Company,Image,employerprofile_employerrating_lq_zl,jobcard_seolink_r4hue_URL,Title,Location,Salary,Description,Salary1,mlxsm,Description2,dflex
Vanguard3.7 ★,https://media.glassdoor.com/sql/4084/vanguard-squareLogo-1612802515459.png,3.7 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-vanguard-JV_KO0,21_KE22,30.htm?jl=1008703104050",Senior Data Scientist,"Philadelphia, PA",$113K - $153K (Glassdoor est.),"Undergraduate degree in Analytics, Applied Mathematics, Economics, Statistics or related analytical field of study or equivalent combination of training and……",(Glassdoor est.),,,30d+
Liberty Mutual3.8 ★,https://media.glassdoor.com/sql/2874/liberty-mutual-insurance-squarelogo-1550851957951.png,3.8 ★,"https://www.glassdoor.com/job-listing/solaria-lab-data-science-co-op-january-june-2024-liberty-mutual-JV_KO0,48_KE49,63.htm?jl=1008865213980",Solaria Lab Data Science Co-Op (January - June 2024),"Boston, MA",$24.00 - $32.00 Per Hour (Employer est.),"Working towards a Bachelor's, Master's or PhD Degree in Data Science, Engineering, Computer Science, Mathematics or other technical field.…",(Employer est.),,Data,30d+
ByteDance3.9 ★,https://media.glassdoor.com/sql/1624196/bytedance-squarelogo-1600415887465.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-tiktok-ads-vertical-solutions-bytedance-JV_KO0,44_KE45,54.htm?jl=1007644900845","Data Scientist, Tiktok Ads-Vertical Solutions","Seattle, WA",$145K - $281K (Employer est.),"Embedded within the product team, data scientists are responsible for setting product goals in the right direction; driving growth on business partners;……",(Employer est.),,data,30d+
ISE Data Systems5 ★,https://media.glassdoor.com/sql/4567991/ise-data-systems-squarelogo-1629284265898.png,5 ★,"https://www.glassdoor.com/job-listing/data-scientist-ise-data-systems-JV_KO0,14_KE15,31.htm?jl=1008763923431",Data Scientist,"Reston, VA",$92K - $130K (Glassdoor est.),"Data Scientist duties will typically be focused on the customer’s business analytics, metrics collection, and analysis efforts to assist the customer’s……",(Glassdoor est.),,Data,30d+
Merck Sharp & Dohme4.2 ★,https://media.glassdoor.com/sql/438/merck-squarelogo-1598450183933.png,4.2 ★,"https://www.glassdoor.com/job-listing/senior-scientist-statistical-programming-merck-sharp-and-dohme-JV_KO0,40_KE41,62.htm?jl=1008918490070","Senior Scientist, Statistical Programming","Rahway, NJ",$93K - $129K (Glassdoor est.),"Applicant must also possess effective knowledge and experience in developing analysis and reporting deliverables for R&D projects (data, analyses, tables,……",(Glassdoor est.),,,12d
NVIDIA4.6 ★,https://media.glassdoor.com/sql/7633/nvidia-squareLogo-1672943582283.png,4.6 ★,"https://www.glassdoor.com/job-listing/data-center-engineer-nvidia-JV_KO0,20_KE21,27.htm?jl=1008928963593",Data Center Engineer,"Hillsboro, OR",$140K - $288K (Employer est.),"BS, BA, or BEng degree in a technical field, or equivalent experience. Implement process improvements and develop a cutting-edge operational environment through……",(Employer est.),,,6d
EvolutionIQ4.9 ★,https://media.glassdoor.com/sql/2935026/evolutioniq-squarelogo-1598016652681.png,4.9 ★,"https://www.glassdoor.com/job-listing/data-labeler-contract-evolutioniq-JV_KO0,21_KE22,33.htm?jl=1008914401291",Data Labeler (Contract),"New York, NY",$30.00 Per Hour (Employer est.),"Can effectively correspond between technical and non-technical audiences. For our experts in machine learning, data science, applications, and technology……",(Employer est.),Easy Apply,data,14d
Jerry3.7 ★,https://media.glassdoor.com/sql/3856415/jerry-squareLogo-1621521925324.png,3.7 ★,"https://www.glassdoor.com/job-listing/senior-product-analyst-growth-jerry-JV_KO0,29_KE30,35.htm?jl=1008937961255","Senior Product Analyst, Growth","Washington, DC",$70K - $99K (Glassdoor est.),"You will perform analytical deep dives, develop and analyze experiments, build predictive models, and make recommendations that inform our product roadmap.…",(Glassdoor est.),Easy Apply,,2d
"Montrose Environmental Group, Inc.3.4 ★",https://media.glassdoor.com/sql/973903/montrose-environmental-squarelogo-1496649120356.png,3.4 ★,"https://www.glassdoor.com/job-listing/esg-jr-data-management-consultant-computer-scientist-pt-or-ft-remote-montrose-environmental-group-inc-JV_KO0,68_KE69,101.htm?jl=1008750302103",ESG Jr. Data Management Consultant - Computer Scientist (PT or FT REMOTE),Texas,$35.00 - $38.00 Per Hour (Employer est.),"Use advanced database & technical skills for integration to other systems, data load tools & data collection apps. Compensation is a competitive hourly wage.…",(Employer est.),,data,30d+
Health Advocate2.6 ★,https://media.glassdoor.com/sql/35353/health-advocate-squarelogo-1523480147434.png,2.6 ★,"https://www.glassdoor.com/job-listing/principal-data-scientist-health-advocate-JV_KO0,24_KE25,40.htm?jl=1008727987484",Principal Data Scientist,Remote,$140K (Employer est.),"Collaborate with data scientists and engineers to design and develop state-of-the-art AI models. Advanced degree in computer science, data science, engineering,……",(Employer est.),,data,30d+
Intone Networks4.3 ★,https://media.glassdoor.com/sql/375310/intone-networks-squarelogo.png,4.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-machine-learning-python-intone-networks-JV_KO0,38_KE39,54.htm?jl=1008908006286",Data Scientist/Machine Learning (Python),"Santa Clara, CA",$117K - $168K (Glassdoor est.),Should be able to adapt available models from the open-source domain and implement research papers based on use-case requirements • Working experience in end-to……,(Glassdoor est.),,,18d
Abt JTA3.7 ★,https://media.glassdoor.com/sql/18746/abt-associates-squarelogo.png,3.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-mid-level-abt-jta-JV_KO0,24_KE25,32.htm?jl=1008932872105",Data Scientist (Mid-Level),"Rockville, MD",$91K - $146K (Employer est.),The Data Scientist works with internal colleagues and external clients to answer complex technical questions. The selected candidate must be experienced in data……,(Employer est.),,Data,4d
San Francisco State University4.1 ★,https://media.glassdoor.com/sql/27375/san-francisco-state-squarelogo-1378477907074.png,4.1 ★,"https://www.glassdoor.com/job-listing/biology-data-scientist-san-francisco-state-university-JV_KO0,22_KE23,53.htm?jl=1008910594905",Biology Data Scientist,"San Francisco, CA",$86K - $92K (Employer est.),"The candidate will have opportunities to become part of the thriving data science programs in our college, especially in the PINC computing minor for bio/chem……",(Employer est.),Easy Apply,data,17d
VSCO3.6 ★,https://media.glassdoor.com/sql/816929/vsco-squarelogo-1454460093491.png,3.6 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-vsco-JV_KO0,21_KE22,26.htm?jl=1008890182261",Senior Data Scientist,Remote,$158K - $183K (Employer est.),"As a key member of our team, you'll collaborate closely with our Head of Data and cross-functional teams, including finance and operations, to develop a data……",(Employer est.),,Data,26d
University of Minnesota4.2 ★,https://media.glassdoor.com/sql/3735/university-of-minnesota-squareLogo-1612116108392.png,4.2 ★,"https://www.glassdoor.com/job-listing/junior-scientific-programmer-data-scientist-university-of-minnesota-JV_KO0,43_KE44,67.htm?jl=1007599991555",Junior Scientific Programmer/Data Scientist,"Minneapolis, MN",$72K - $101K (Glassdoor est.),B.A./B.S. in Computer Science/Math/Statistics/Physics/Informatics or related technical disciplines and 2 years of related experience or a combination of……,(Glassdoor est.),,,30d+
GE Healthcare4.3 ★,https://media.glassdoor.com/sql/4112/ge-healthcare-squareLogo-1672756178493.png,4.3 ★,"https://www.glassdoor.com/job-listing/senior-data-architect-ge-healthcare-JV_KO0,21_KE22,35.htm?jl=1008935708495",Senior Data Architect,Remote,$170K - $190K (Employer est.),"Duties include identifying the company’s internal and external data sources, developing company data standards, documenting, and optimizing data flows,……",(Employer est.),,data,3d
Bravo Consulting Group4.3 ★,https://media.glassdoor.com/sql/1193196/bravo-consulting-group-squareLogo-1626787779931.png,4.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-bravo-consulting-group-JV_KO0,14_KE15,37.htm?jl=1008910804068",Data Scientist,"Springfield, VA",$94K - $141K (Glassdoor est.),"Apply extensive knowledge to integrate, develop, and maintain analytic models, visualizations, and tools to evaluate, analyze, and communicate internal/external……",(Glassdoor est.),,,17d
Merck Sharp & Dohme4.2 ★,https://media.glassdoor.com/sql/438/merck-squarelogo-1598450183933.png,4.2 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-remote-merck-sharp-and-dohme-JV_KO0,28_KE29,50.htm?jl=1008855669413",Senior Data Scientist (REMOTE),"Rahway, NJ",$119K - $187K (Employer est.),Minimum of 6 years of experience in data science or machine learning engineering role with a Bachelor’s degree from an accredited institution in Computer……,(Employer est.),,data,30d+
Evolve Vacation Rentals2.8 ★,https://media.glassdoor.com/sql/844063/evolve-squareLogo-1682017207245.png,2.8 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-evolve-vacation-rentals-JV_KO0,21_KE22,45.htm?jl=1008908005372",Senior Data Scientist,Remote,$138K - $170K (Employer est.),"Effectively communicate complex and ambiguous information to technical and non-technical stakeholders. As a member of the core data science team, you will be……",(Employer est.),,data,18d
Intuit4.5 ★,https://media.glassdoor.com/sql/2293/intuit-squareLogo-1661448829538.png,4.5 ★,"https://www.glassdoor.com/job-listing/staff-data-scientist-intuit-JV_KO0,20_KE21,27.htm?jl=1008872889040",Staff Data Scientist,"Mountain View, CA",$151K - $199K (Glassdoor est.),"Leads technical work of a scrum team: initiating and designing model solutions, driving end-to-end architecture designs of the team’s work, and holding the team……",(Glassdoor est.),,,30d+
ICR inc.4.6 ★,https://media.glassdoor.com/sql/4595519/icr-squarelogo-1629098177812.png,4.6 ★,"https://www.glassdoor.com/job-listing/bayesian-statistician-data-scientist-icr-inc-JV_KO0,36_KE37,44.htm?jl=1008795349489",Bayesian Statistician (Data Scientist),"Aurora, CO",$79K - $237K (Employer est.),"Develop unique technical solutions for applications in the intelligence field. Develop, implement, validate, document, and present findings of specialized……",(Employer est.),,,30d+
S&P Global4.1 ★,https://media.glassdoor.com/sql/1259396/s-and-p-global-squareLogo-1689019774247.png,4.1 ★,"https://www.glassdoor.com/job-listing/associate-director-of-data-scientist-%E2%80%93-nlp-llm-and-genai-s-and-p-global-JV_KO0,56_KE57,71.htm?jl=1008938182231","Associate Director of Data Scientist – NLP, LLM and GenAI","University of Richmond, VA",$150K - $215K (Employer est.),"ML, NLP, LLM Model Evaluation: Work closely with the other data science team members to develop, validate, and maintain robust evaluation solutions and tools to……",(Employer est.),,data,1d
Alimentiv4.1 ★,https://media.glassdoor.com/sql/1272830/alimentiv-squareLogo-1621471997598.png,4.1 ★,"https://www.glassdoor.com/job-listing/statistician-alimentiv-JV_KO0,12_KE13,22.htm?jl=1008937945909",Statistician,"Raleigh, NC",$81K - $136K (Employer est.),"Responsible for the application of biostatistical methods to support clinical trials and data management, including statistical planning, design, analysis, and……",(Employer est.),,data,2d
Voloridge Investment Management4.6 ★,https://media.glassdoor.com/sql/1099699/voloridge-investment-management-squareLogo-1661358305132.png,4.6 ★,"https://www.glassdoor.com/job-listing/sr-data-scientist-voloridge-investment-management-JV_KO0,17_KE18,49.htm?jl=1008913890442",Sr Data Scientist,"Jupiter, FL",$104K - $152K (Glassdoor est.),"Collaborative research projects requiring deep thinking, technical skills, and ingenuity. Keeping abreast of the latest research related to data science.…",(Glassdoor est.),,data,15d
Source Mantra3.3 ★,https://media.glassdoor.com/sql/943635/source-mantra-squarelogo-1469519932760.png,3.3 ★,"https://www.glassdoor.com/job-listing/data-scientist-french-reading-and-writing-source-mantra-JV_KO0,41_KE42,55.htm?jl=1008757193245",Data Scientist (French Reading And Writing),"New York, NY",$55.00 - $60.00 Per Hour (Employer est.),Data scientist who works on AWS stack for machine learning. Visa Status: H1B & USC & GC & EAD*. Rate $60/Hr/Need 9-10+ Years of Experience/With Passport No &……,(Employer est.),Easy Apply,Data,30d+
Vitria Technology3.6 ★,https://media.glassdoor.com/sql/9077/vitria-technology-squarelogo-1508198957997.png,3.6 ★,"https://www.glassdoor.com/job-listing/vitria-data-scientist-vitria-technology-JV_KO0,21_KE22,39.htm?jl=1006880076377",Vitria Data Scientist,Remote,,"Experience with data science and machine learning/statistical techniques, including regression, classification, ensemble methods, reinforcement learning,……",,,data,30d+
Logistics Management Institute4.2 ★,https://media.glassdoor.com/sql/21939/lmi-squarelogo.png,4.2 ★,"https://www.glassdoor.com/job-listing/junior-data-scientist-logistics-management-institute-JV_KO0,21_KE22,52.htm?jl=1008462847339",Junior Data Scientist,"Washington, DC",$94K - $142K (Glassdoor est.),"Bachelor’s degree in data science, mathematics, statistics, economics, computer science, engineering, or other related business or quantitative discipline is……",(Glassdoor est.),,data,30d+
Pie Insurance3.7 ★,https://media.glassdoor.com/sql/1772734/pie-insurance-squarelogo-1503954526151.png,3.7 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-pie-insurance-JV_KO0,21_KE22,35.htm?jl=1008764688668",Senior Data Scientist,Remote,$150K - $205K (Employer est.),"You will help conceptualize, design, generate and test hypotheses, construct features, build and validate models–leveraging your deep-learning and NLP skills to……",(Employer est.),Easy Apply,,30d+
Teknatio4.7 ★,https://media.glassdoor.com/sql/2186481/teknatio-squarelogo-1634282601710.png,4.7 ★,"https://www.glassdoor.com/job-listing/data-scientist-teknatio-JV_KO0,14_KE15,23.htm?jl=1006603659417",Data Scientist,"Menlo Park, CA",$109K - $159K (Glassdoor est.),Design and develop data analytics system for networking telemetry and configuration data; Qualification: Bachelors’ degree in Computer Science or a related……,(Glassdoor est.),,data,30d+
Bristol Myers Squibb3.8 ★,https://media.glassdoor.com/sql/107/bristol-myers-squibb-squarelogo-1584450759008.png,3.8 ★,"https://www.glassdoor.com/job-listing/senior-scientist-machine-learning-and-multi-omic-cv-disease-profiling-bristol-myers-squibb-JV_KO0,69_KE70,90.htm?jl=1008923156038","Senior Scientist, Machine learning and multi-omic CV disease profiling","Brisbane, CA",$112K - $171K (Glassdoor est.),"Bachelor's Degree in a quantitative field such as bioinformatics, computational biology, genomics/genetics, computer science, statistics, or a related field and……",(Glassdoor est.),,,10d
Brooksource4 ★,https://media.glassdoor.com/sql/227518/brooksource-squarelogo.png,4 ★,"https://www.glassdoor.com/job-listing/data-scientist-brooksource-JV_KO0,14_KE15,26.htm?jl=1008909820181",Data Scientist,Remote,$35.00 - $40.00 Per Hour (Employer est.),"Three years total experience in data science or related field required, with experience analyzing real-world (noisy/imperfect/incomplete) datasets and……",(Employer est.),Easy Apply,data,17d
GloComms4.1 ★,https://media.glassdoor.com/sql/2956365/glocomms-squarelogo-1575967797477.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-glocomms-JV_KO0,14_KE15,23.htm?jl=1008932785986",Data Scientist,Texas,,STEM Degree holder with 2+ years of Data Science work experience (background in energy or manufacturing preferred).…,,Easy Apply,Data,4d
LeadsOnline4.8 ★,https://media.glassdoor.com/sql/1046204/leadsonline-squarelogo-1515767266397.png,4.8 ★,"https://www.glassdoor.com/job-listing/senior-data-analyst-leadsonline-JV_KO0,19_KE20,31.htm?jl=1008925642239",Senior Data Analyst,"Plano, TX",$95K - $110K (Employer est.),"Have a Bachelor’s of Science/Bachelors of Arts, preferably in a field relevant to analytics (statistics, information systems, industrial engineering, finance,……",(Employer est.),Easy Apply,,8d
Kraft Heinz Company3.5 ★,https://media.glassdoor.com/sql/1026712/kraft-heinz-company-squareLogo-1634232581528.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-engineer-kraft-heinz-company-JV_KO0,13_KE14,33.htm?jl=1008918798089",Data Engineer,"Chicago, IL",$86K - $122K (Glassdoor est.),"An agile learner who brings strong problem-solving skills, and enjoys working as part of a technical, cross functional team to solve complex data problems.…",(Glassdoor est.),,data,12d
Abbott Laboratories3.8 ★,https://media.glassdoor.com/sql/12/abbott-squareLogo-1657555841059.png,3.8 ★,"https://www.glassdoor.com/job-listing/data-scientist-abbott-laboratories-JV_KO0,14_KE15,34.htm?jl=1008873483046",Data Scientist,"Alameda, CA",$82K - $164K (Employer est.),"Experienced in one or more of the following: Electro-mechanical, software, mathematical, chemical or biochemical technologies as they pertain to the design,……",(Employer est.),,,30d+
US Foods3.6 ★,https://media.glassdoor.com/sql/2856/us-foods-squarelogo-1576537756273.png,3.6 ★,"https://www.glassdoor.com/job-listing/data-scientist-remote-virtual-supply-chain-us-foods-JV_KO0,42_KE43,51.htm?jl=1008830773278",Data Scientist (Remote -Virtual)- Supply Chain,"Rosemont, IL",$83K - $124K (Employer est.),"A Bachelor's degree in statistics, mathematics, data science, operations research, applied analytics, computer science, information systems, or another……",(Employer est.),,data,30d+
Attadale Partners,https://media.glassdoor.com/sql/1414753/attadale-partners-squarelogo-1630406818444.png,,"https://www.glassdoor.com/job-listing/machine-learning-nlp-data-scientist-attadale-partners-JV_KO0,35_KE36,53.htm?jl=1008669335936",Machine Learning / NLP Data Scientist,"Schaumburg, IL",$91K - $129K (Glassdoor est.),"Ability to perform one or more of the following core domain skills: machine learning (ML), natural language (NLP), artificial intelligence (AI), texting mining,……",(Glassdoor est.),,,30d+
Quantum Solutions4.5 ★,https://media.glassdoor.com/sql/1356876/quantum-solutions-squarelogo-1498720419118.png,4.5 ★,"https://www.glassdoor.com/job-listing/big-data-ai-ml-developer-quantum-solutions-JV_KO0,24_KE25,42.htm?jl=1008937128129",Big Data AI/ML Developer,"Phoenix, AZ",$60.00 - $65.00 Per Hour (Employer est.),"4+ years of experience in applying Statistics along with end to end ML engineering (design, development & implementation of end-to-end AI/ML models).…",(Employer est.),Easy Apply,,2d
TMPI,https://media.glassdoor.com/sql/3289914/thermionics-metal-processing-squarelogo-1664289250192.png,,"https://www.glassdoor.com/job-listing/ai-engineer-data-scientist-tmpi-JV_KO0,26_KE27,31.htm?jl=1008901449514",AI Engineer/Data Scientist,"Minneapolis, MN",$130K - $160K (Employer est.),A bachelor’s degree in Computer Science or a related field is preferred. Minimum of 3 years working experience in AI field.…,(Employer est.),Easy Apply,,20d
Honeywell4 ★,https://media.glassdoor.com/sql/28/honeywell-squarelogo-1495480258685.png,4 ★,"https://www.glassdoor.com/job-listing/information-systems-it-cyber-engineer-and-data-science-recent-grad-full-time-honeywell-JV_KO0,76_KE77,86.htm?jl=1008829885643","Information Systems, IT, Cyber Engineer & Data Science (Recent Grad/Full Time)",United States,,Honeywell is hiring Recent Graduates from bachelor’s and master’s degree programs to join our technology teams. Excellent oral and written communication skills.…,,,,30d+
Braze4.1 ★,https://media.glassdoor.com/sql/1879400/braze-squareLogo-1656640785349.png,4.1 ★,"https://www.glassdoor.com/job-listing/data-scientist-braze-JV_KO0,14_KE15,20.htm?jl=1008882068469",Data Scientist,"New York, NY",$132K - $179K (Employer est.),"In addition to cash compensation, Braze offers full- and part- time employees a comprehensive Total Rewards package that includes equity grants of restricted……",(Employer est.),Easy Apply,,30d+
TikTok3.5 ★,https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png,3.5 ★,"https://www.glassdoor.com/job-listing/data-analyst-risk-data-mining-usds-tiktok-JV_KO0,34_KE35,41.htm?jl=1008903209605","Data Analyst, Risk Data Mining - USDS","Seattle, WA",$82K - $128K (Employer est.),"Quantify risk control effects and trends, collaborate with engineering, modeling, operational and product colleagues, contribute to risk measurement, perception……",(Employer est.),,,20d
Baker Hughes3.9 ★,https://media.glassdoor.com/sql/1902699/baker-hughes-squareLogo-1681943507122.png,3.9 ★,"https://www.glassdoor.com/job-listing/commercial-analytics-and-data-science-specialist-baker-hughes-JV_KO0,48_KE49,61.htm?jl=1008922976579",Commercial Analytics & Data Science Specialist,"Houston, TX",,Developing state-of-the-art predictive models that evaluate new internal and external data elements and technologies to help achieve business targets.…,,,data,10d
NVIDIA4.6 ★,https://media.glassdoor.com/sql/7633/nvidia-squareLogo-1672943582283.png,4.6 ★,"https://www.glassdoor.com/job-listing/research-scientist-ai-algorithms-new-college-grad-2023-nvidia-JV_KO0,54_KE55,61.htm?jl=1008745191209","Research Scientist, AI Algorithms - New College Grad 2023","Santa Clara, CA",$156K - $247K (Employer est.),"At the same time, you will also have the opportunity to have an impact on products and collaborate with teams that focus on AI products based on CUDA,……",(Employer est.),,,30d+
Xylem3.7 ★,https://media.glassdoor.com/sql/494852/xylem-squareLogo-1671173665419.png,3.7 ★,"https://www.glassdoor.com/job-listing/sr-data-scientist-xylem-JV_KO0,17_KE18,23.htm?jl=1008903510227",Sr. Data Scientist,"Baltimore, MD",$115K - $130K (Employer est.),"As a member of the Data Science team, the incumbent will design, develop and test predictive models for water systems to integrate with data services and……",(Employer est.),,Data,20d
Coalition4.5 ★,https://media.glassdoor.com/sql/1717118/coalition-ca-squareLogo-1646147240955.png,4.5 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-operations-coalition-JV_KO0,32_KE33,42.htm?jl=1008852689977","Senior Data Scientist, Operations",Remote,$132K (Employer est.),"A Bachelor's degree in Statistics, Economics, Mathematics or related technical field. Experience using data science tools like scikit-learn, pandas, numpy,……",(Employer est.),,data,30d+
Elite Insurance Partners4.4 ★,https://media.glassdoor.com/sql/1668845/elite-insurance-partners-squarelogo-1503646315814.png,4.4 ★,"https://www.glassdoor.com/job-listing/machine-learning-engineer-elite-insurance-partners-JV_KO0,25_KE26,50.htm?jl=1008931037253",Machine Learning Engineer,"Tampa, FL",$100K - $120K (Employer est.),"Bachelor’s or higher degree in Mathematics, Computer Science, a similar technical field of study, or equivalent practical experience.…",(Employer est.),Easy Apply,,5d
Cotiviti3.5 ★,https://media.glassdoor.com/sql/968083/cotiviti-squarelogo-1544562057691.png,3.5 ★,"https://www.glassdoor.com/job-listing/payment-accuracy-data-mining-specialist-2-cotiviti-JV_KO0,41_KE42,50.htm?jl=1008929306155",Payment Accuracy Data Mining Specialist 2,Remote,$25.00 - $35.00 Per Hour (Employer est.),"Makes recommendations on medical policy applications, state and federal statutes, and other reimbursement methodologies as it applies to the audit concept.…",(Employer est.),,,6d
Nexlogica,https://media.glassdoor.com/sql/5544413/nexlogica-squarelogo-1645617596249.png,,"https://www.glassdoor.com/job-listing/data-scientist-nexlogica-JV_KO0,14_KE15,24.htm?jl=1008815220365",Data Scientist,Remote,$53.62 - $64.58 Per Hour (Employer est.),"Possess knowledge and technical expertise in standards and technologies to support complex business analysis, solution selection, systems design, and……",(Employer est.),Easy Apply,,30d+
Basis3.7 ★,https://media.glassdoor.com/sql/367608/basis-squarelogo-1448960893290.png,3.7 ★,"https://www.glassdoor.com/job-listing/research-scientist-machine-learning-ai-basis-JV_KO0,38_KE39,44.htm?jl=1008885272463","Research Scientist, Machine Learning / AI",Remote,$120K - $180K (Employer est.),"PhD (or equivalent experience) in technical areas, including: statistics, programming languages, machine learning, computational neuroscience, cognitive science……",(Employer est.),,,29d
Clarifai3.4 ★,https://media.glassdoor.com/sql/1330095/clarifai-squarelogo-1520871128916.png,3.4 ★,"https://www.glassdoor.com/job-listing/data-scientist-public-sector-clarifai-JV_KO0,28_KE29,37.htm?jl=1008890088365",Data Scientist - Public Sector,Remote,,"College degree BS (computer science, math, physics). Experience manipulating data on government computing infrastructure. Work 3-4 days/week remotely.…",,Easy Apply,data,26d
NVIDIA4.6 ★,https://media.glassdoor.com/sql/7633/nvidia-squareLogo-1672943582283.png,4.6 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-enterprise-sales-analytics-nvidia-JV_KO0,48_KE49,55.htm?jl=1008918337639","Senior Data Scientist, Enterprise Sales Analytics","Santa Clara, CA",$168K - $265K (Employer est.),"Design, develop, and establish predictive and generative models that integrate with Salesforce pipeline and financial data to provide strategic insights and……",(Employer est.),,data,12d
Farmers Insurance Group3.2 ★,https://media.glassdoor.com/sql/3955/farmers-insurance-group-squarelogo-1561418791526.png,3.2 ★,"https://www.glassdoor.com/job-listing/principal-data-scientist-farmers-insurance-group-JV_KO0,24_KE25,48.htm?jl=1008937711154",Principal Data Scientist,"Woodland Hills, CA",$127K - $185K (Glassdoor est.),"Helps business stakeholders develop optimized pricing strategies, assess risks, and predict customer behavior. 10 or more years of related experience required.…",(Glassdoor est.),,,2d
TikTok3.5 ★,https://media.glassdoor.com/sql/2230881/tiktok-squarelogo-1539940701771.png,3.5 ★,"https://www.glassdoor.com/job-listing/machine-learning-ai-graduate-monetization-technology-generation-global-2024-start-bs-ms-tiktok-JV_KO0,87_KE88,94.htm?jl=1008929498300",Machine Learning AI Graduate (Monetization Technology-Generation- Global)- 2024 Start (BS/MS),"San Jose, CA",$112K - $173K (Employer est.),Candidates who pass resume evaluation will be invited to participate in TikTok's technical online assessment in HackerRank.…,(Employer est.),,,5d
Neuberger Berman4.2 ★,https://media.glassdoor.com/sql/8711/neuberger-berman-squarelogo-1398704736637.png,4.2 ★,"https://www.glassdoor.com/job-listing/data-scientist-neuberger-berman-JV_KO0,14_KE15,31.htm?jl=1008753274351",Data Scientist,"New York, NY",$150K - $200K (Employer est.),"Work with engineering team to deploy models, construct big data analytic pipelines and develop scalable data science capabilities.…",(Employer est.),,data,30d+
Mainsailgroup.com,,,"https://www.glassdoor.com/job-listing/data-scientist-c-mainsailgroup-com-JV_KO0,16_KE17,34.htm?jl=1008937888034",Data Scientist (C),"Reston, VA",,You’ll use the right combination of tools and frameworks to turn sets of disparate data points into objective answers to advise your clients as they make……,,Easy Apply,data,2d
Dun & Bradstreet3.9 ★,https://media.glassdoor.com/sql/213/dun-and-bradstreet-squareLogo-1660947647913.png,3.9 ★,"https://www.glassdoor.com/job-listing/data-scientist-r-14914-dun-and-bradstreet-JV_KO0,22_KE23,41.htm?jl=1008837324382",Data Scientist (R-14914),"Florham Park, NJ",$95K - $137K (Glassdoor est.),"Advanced degree in physics, math, computer science or similarly quantitative field. Experience operating successfully in data science roles, especially as a……",(Glassdoor est.),,data,30d+
Atlassian4.2 ★,https://media.glassdoor.com/sql/115699/atlassian-squarelogo-1505156989127.png,4.2 ★,"https://www.glassdoor.com/job-listing/senior-people-data-scientist-atlassian-JV_KO0,28_KE29,38.htm?jl=1008893178888",Senior People Data Scientist,"San Francisco, CA",$130K - $188K (Glassdoor est.),"Expert knowledge of advanced statistical methods (e.g., could include: regression, cluster analysis, HLM, social network analysis, text analysis, longitudinal……",(Glassdoor est.),,,25d
Kanini Software Solutions4.4 ★,https://media.glassdoor.com/sql/2541610/kanini-squarelogo-1556327762950.png,4.4 ★,"https://www.glassdoor.com/job-listing/data-science-architect-and-generative-ai-kanini-software-solutions-JV_KO0,40_KE41,66.htm?jl=1008930621751",Data Science Architect & Generative AI,"Nashville, TN",$75.00 - $80.00 Per Hour (Employer est.),"In this role, you will be responsible for leading data science initiatives, designing and implementing advanced AI models, and providing technical leadership to……",(Employer est.),Easy Apply,data,5d
Eventbrite4 ★,https://media.glassdoor.com/sql/344483/eventbrite-squarelogo-1537197597808.png,4 ★,"https://www.glassdoor.com/job-listing/senior-data-scientist-risk-eventbrite-JV_KO0,26_KE27,37.htm?jl=1008813179520",Senior Data Scientist - Risk,Remote,,"The six members of the data science team, including the two currently focused on risk mitigation, as well their embedded development teams are all US-based and……",,,data,30d+
Best Buy3.6 ★,https://media.glassdoor.com/sql/97/best-buy-squareLogo-1650652693751.png,3.6 ★,"https://www.glassdoor.com/job-listing/decision-scientist-%E2%80%93-supply-chain-strategy-hybrid-best-buy-JV_KO0,49_KE50,58.htm?jl=1008925434183",Decision Scientist – Supply Chain Strategy - Hybrid,"Richfield, MN",,"Bachelor’s Degree from accredited college/university preferably in mathematics, statistics, economics, computer science, or related STEM field.…",,,,9d
CyberCoders4 ★,https://media.glassdoor.com/sql/245479/cybercoders-squarelogo-1579201407296.png,4 ★,"https://www.glassdoor.com/job-listing/deep-learning-data-scientist-cybercoders-JV_KO0,28_KE29,40.htm?jl=1008938589915",Deep Learning- Data Scientist,"Glendale, CA",$150K - $220K (Employer est.),"Work with state of the art technologies in AI and Computer Vision. Bachelor degree in Computer Science, Machine Learning, Computer Vision, or a related field.…",(Employer est.),Easy Apply,,1d
