Title,Title_URL,Company_name,Location,css1ihavw2,metadata_divcontainsclass_css1ihavw2,Description,Description1,Description2,date,Location3,more_loc_URL,more_loc,Title1,Title_URL1,Titl1,Location1,css1ihav1,metadata_divcontainsclass_css1ihav1,Description3,Descriptio1,date1,more_loc_URL1,more_loc1,Locatio1,Description4
Data Scientist,https://www.indeed.com/company/Cognize-tech-solutions/jobs/Data-Scientist-19c0f904e582d0c7?fccid=f4398aa555827ed9&vjs=3,COGNIZE TECH SOLUTIONS,Remote,"$65,000 - $80,000 a year","Full-time
+1"," Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client…",data,,"Employer
Active 3 days ago",Remote,,,,,,,,,,,,,,,
Data Scientist/Quantitative Analyst,https://www.indeed.com/rc/clk?jk=5b1df7374a0aa25d&fccid=e1c9c509af506a08&vjs=3,Federal Reserve Bank of Minneapolis,"Hybrid remote in Minneapolis, MN 55401",Full-time,Full-time,"Bachelor's degree in quantitative subject such as computer science, statistics, mathematics, physics, engineering, or degree in another subject such as finance,…",,,"Posted
Posted 11 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=bff36fd9f50d8b87&fccid=54a1830e9cce3cc0&vjs=3,Flow,"New York, NY 10012 
(NoHo area)","$130,000 - $170,000 a year",Full-time,"Strong data visualization skills and ability to present insights from analysis - previous experience with enterprise business intelligence tools, such as Sigma,…",data,,"Posted
Posted 30+ days ago",(NoHo area),,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=74ebb68410b35cc9&fccid=74540dcd08f53d72&vjs=3,UCLA Health,"Los Angeles, CA 90095",$26.20 - $51.39 an hour,,Knowledge and deployment of advanced statistical and machine learning concepts used in big data analysis.,data,Experience in working with high-performance computing…,"Posted
Posted 30+ days ago",,,,,,,,,,,,,,,,
Associate Data Scientist,https://www.indeed.com/rc/clk?jk=24c5d44852b4578b&fccid=c4bc23324dcf8d3c&vjs=3,Anheuser-Busch,"St. Louis, MO","$74,400 - $88,350 a year",Full-time,"1+ years of real-world experience as a data scientist, mathematician, or operations specialist applying optimization techniques, statistical/econometric and/or…",data,,"Posted
Posted 5 days ago",,,,,,,,,,,,,,,,
AI Developer - Contractor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DY0o1vBkDF7ijZdphmN8ZpJjzNfoJ8hIIfocg_Q3_4rrU9MZaBYUA8inFsKV3suctbWkEVESkYcNgP7wRdHhF7Bq29ekffgM_hjURF1_Sv1RpsQIkEkeWDWLoEjO-_N-LrOTZHE_I2WrnlUvus4pSU6jSPzJ9CZMa7zMGWPwY1MMl21SPcmZNdAiLBKBSopf1zf6eUK5ZqbQb9GoNLoHOOxzm2eyLjvxzAk_PMb9rWKMSWtUvst7sejB_xEKHQdJtjUXhk9giDSA-6bBHjyzs9wFIRXdRkrhGVHpTnx_x6EzTYEZ_xbeJrFVFzRmvsmQcrRRSleNhobVh_mJFL_VRP8KYosqEfIwMeKuvTRruy8s8eghDYy8R1CruqJ-mH30PFz_d5FnoqLFLFmD28MIrjHklqJH4ZjTnDZYV4t2WppdC8iIR21bDGgKNmWb28RjTXD7tzuyKZtZcB8YBBxWHEXeW113313gxhE3wTGrwtMUHZ_P3BczpI6-9wWyrBWJEVL3PPs6dCpQCBcKkoU2raFtRfP5uUqEkx1ue0swDVRZxMhFRDY2yvUfbOnWgU23tJOc8RQcKeRDYGKyL68cTAUYOKrNSodS4I5RAf3B0iovhhW9M-DkxoRjLyB5EBv6Mlunt5DL_IQRM4YBau9SsvdKI0RfWwGZC5QSgGuUt7DIWEvKFwOZAr4XDDCv-wkCEv0YQhfw7YUjC1jvmqRFV7zkuVntMWE0MAQMqMRXOT2TkzvQBe-6WKxBlfnSp1fRYj2e3bq-uS-PxNqDvCwa1q&xkcb=SoAI-_M3JtOCHh2as50EbzkdCdPP&p=14&fvj=0&vjs=3,EY,"North Palm Beach, FL",$100 - $130 an hour,Full-time,"Data Preprocessing: Collect, clean, and preprocess data for training and testing machine learning models.",data,Model Training: Train and fine-tune machine learning…,"Posted
Posted 4 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtGlr3wcSMURH9oqKq1q2FCfUEVrCkUcUvYkaqaQqQ4KG5_TQBvz1oR33pkfr9ubYgwx2u-0l-BfYDz--nCzoVP35cPIFb5Il-B9gGtxFg2TyfXJ7I7aULGArHahnNCJQfW_bND5h2KJM9swrPV3XQ_TrH8aV1Pcq_uX3ZoBlAZrdQYNrodAduZUhIW09Smergb_iQIR2EtGatMo9ImxzIYA1fuJnnE3EtnGohhWl4u5nqdw4SdUh_k4Z45H2kfB57dE1FANccTCYpfPfktbDuqefHCaPm07bKdri3dUrQVhEaVZRM6C5KcFUjro7gI8NybMoKMlZFAxMRF7SN7BeZFBoYnekGbMAt39YdIiYid1P0AlhdMDQ5LM2ieR-2oIBI89t5KFfG8BWSiOb1F_zszPhPtMWMJNt-crfDnbJlT6MjNzKe3bGMFp-xPt1Mu_34OMvHOo3fIhW-avC_kV8F4gVtK3cSGxoDoN6GK9ORzmgGbJrAGTlrWi9sR5H1ogUIdrk-axoHvungmUlo_yfOlmRmSBkPtbyCDp6P_OCR79ukKJ2opsLi7GsbIrr0cUbhQ==&xkcb=SoAR-_M3JtOBiZxJt50KbzkdCdPP&p=0&fvj=0&vjs=3,National Security Agency,"Fort Meade, MD","$81,233 - $183,500 a year",Full-time,"Relevant experience must be in one or more of the following (for Entry level) but in two or more for Full Performance, Senior, and Expert levels: designing…",,,"Posted
Posted 21 days ago",,,,,,,,,,,,,,,,
Applied Research Mathematician/ Mathematical Statistician,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AC5S5KfpcrE62cRuYLg6qW_HWiPjKHP06qk-AGfbwYtOHGk5utQAbhlcSYjmxeK_H4ERVvxIPtHkE9zWaQvmAC-NE9HRKwI58atZmJrUp4jvS88Xb03eYvXFmYqoJtOazozh1wXSFRmw4eF8FyqmcJ_wUrSKchAKP9zu3l3mptkLQPETShH8KoGyY4P9kdX_mQBmMGgl_MezgA-3LZMQj8CknfW8Mx1NPbHjXBLngpvRU5Kv0KawIKjTWpYXbBtAgaqCOaUuWih8lbwaseWG2J613OpZywZ6JDv_KUWTNYAeoXvTABKx8m3qXovTSPHZmjhf6iMfBcp-_CFZXzfgzV4SBVCb6gs6UanhZjSa1ZbsayOCEKsOKZGSNAqcZy3YtXEi7yHMwN1yHhRPAkIqAWtVCqsIQL3d9xUKM_fxGl_NZD27UwpWskWMZ-4-e83N-bJyvwCAw0tfradTkZGwr8ZxMNjaszxQOVslAVKc6rfKxHtW4JANO_JzlZXDxwUpPhx1SNwTpvU8vdeJfsIJTH8v6CnSRpFHdFhP1mAMPm9RAkvOTa3zlitpOr7jdNE2CvYwmptoS5eh9c6jYsQYVc4VFHDHRP-WbPkkxfN84r6uAaj7PrjVIc&xkcb=SoCM-_M3JtOBiZxJt50JbzkdCdPP&p=1&fvj=0&vjs=3,National Security Agency,"Fort Meade, MD","$81,233 - $142,341 a year","Monday to Friday
+2","A wide range of technical expertise finds a natural fit at NSA including, but not limited to, fields of algebra, combinatorics, Fourier analysis, operations…",,,"Posted
Posted 28 days ago",,,,,,,,,,,,,,,,
Entry Level - Associate Data Scientist - Commercial,https://www.indeed.com/rc/clk?jk=10a0d9d6df49cc76&fccid=de71a49b535e21cb&vjs=3,IBM,"Atlanta, GA 30301 
(Buckhead area)","$93,000 - $121,000 a year",Full-time,"You’ll use a variety of data (structured, unstructured, IoT streaming), analytics, AI tools, and programming languages often using a cloud infrastructure to…",data,,"Posted
Posted 30+ days ago",(Buckhead area),https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=10a0d9d6df49cc76&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_oO6oQJwoJbm9ybXRpdGxlGhplbnRyeSBsZXZlbCBkYXRhIHNjaWVudGlzdA%253D%253D,View all 2 available locations,,,,,,,,,,,,,
College Graduate - Data Science (BS/MS),https://www.indeed.com/rc/clk?jk=3c21a0e654ace006&fccid=936367796261bd6e&vjs=3,INTEL,"Santa Clara, CA","$105,930 - $158,890 a year",Full-time,"It consists of competitive pay, stock, bonuses, as well as, benefit programs which include health, retirement, and vacation.",,,"Posted
Posted 30+ days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=3c21a0e654ace006&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_7Y6oQGwoJbm9ybXRpdGxlGg5kYXRhIHNjaWVudGlzdA%253D%253D,View all 20 available locations,,,,,,,,,,,,,
DATA SCIENTIST,https://www.indeed.com/rc/clk?jk=190a082079ea8382&fccid=3e901f592b439cea&vjs=3,Centers for Disease Control and Prevention,"Atlanta, GA","$69,107 - $177,978 a year",Full-time,"As a DATA SCIENTIST, you will: Consult and collaborate with statistical, data science, artificial intelligence and public health professionals in the collection…",DATA,,"Posted
Posted 17 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=190a082079ea8382&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_PwQGqEBsKCW5vcm10aXRsZRoOZGF0YSBzY2llbnRpc3Q%253D,View all 2 available locations,,,,,,,,,,,,,
"Data Scientist, Creators",https://www.indeed.com/rc/clk?jk=2824c5aedfa6e2ae&fccid=7095ffd299c81ef3&vjs=3,Notion,"New York, NY","$160,000 - $215,000 a year",,"You'll partner closely with a product, engineering, and marketing pillar at every step of the development process, driving forward data science and analytics…",data,,"Posted
Posted 24 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=2824c5aedfa6e2ae&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA-8w8czqhAbCglub3JtdGl0bGUaDmRhdGEgc2NpZW50aXN0,View all 3 available locations,,,,,,,,,,,,,
Jr. Data Scientist,https://www.indeed.com/rc/clk?jk=5ea44f656f2bf465&fccid=1f46884a3fc52544&vjs=3,Kyla,"Remote in San Jose, CA",Full-time,Full-time,"— Collaborate with data scientists, medical doctors, nurses and software engineers.",data,— Intermediate or higher English level — you will have to read a lot of…,"Posted
Posted 30+ days ago",,,,,,,,,,,,,,,,
Decision Scientist,https://www.indeed.com/rc/clk?jk=c3b74f819d32b9f3&fccid=4ed80f3a97849f22&vjs=3,The Walt Disney Company (Corporate),"Lake Buena Vista, FL",,,"The DDSI team sits at the intersection of business strategy, advanced analytics, and technology integration to help our partners explore opportunities for…",,,"Posted
Posted 3 days ago",,,,,,,,,,,,,,,,
AI Developer - Contractor,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DY0o1vBkDF7ijZdphmN8ZpJjzNfoJ8hIIfocg_Q3_4rrU9MZaBYUA8inFsKV3suctbWkEVESkYcNgP7wRdHhF7Bq29ekffgM_hjURF1_Sv1RpsQIkEkeWDWLoEjO-_N-LrOTZHE_I2WrnlUvus4pSU6jSPzJ9CZMa7zMGWPwY1MMl21SPcmZNdAiLBKBSopf1y1oha0tMtaYOQDt5gbC0AUT4wgAKNIq7v0ad6dT0DCx1w0yw3K7ziBkLYBsSi_awUw-KCHnsylHYSMOdze4NaZDYrtpl1qyWAqNzvw5DTx9FH_GTfIEgcfgHHwLBy2VrApHpXXQ8VTOhULWO7oFQxLB3O6p-zYYFFCgz0VvuO82aDRfQmykM0YImiLndrT6_Zt7zNv30DWR1yeVLK4iei3hzw8Z0fkIGdTsSVzGHkqMYxKuBjsHr7Qz9qd4iZ-mrS2DwKLnanwTtfrtSejjvv2cBPqF--9w-zM1mtDL-NuAIjNo2LqxFBqdIYB2s_aEZQMlwbFhCpiC-usPlB0OEFI5iJbU8cUlCQOPliPI2M9soV8LGXgyXtjRXGCoB7MEYJAsBLJ_syCrOkYjtr5kLeZoMziyKJxCoEPlRPyzzPrA3XgUBDgNYnkH9vY732M3pSHSPdSY7EJqYXMXlY9yyEXUInCIGrclGguIqHRjQB4cTjgPEjVuL2DclVAqwhZtCqkZovRdfYTmzW-A3s9xTHrT7c4SQEcBzWoIIw6b-d-CeMGIzZwbALT5lgfPcngscYHZS8yafzRtpgkWSDbxLI&xkcb=SoB2-_M3JtOBiZxJt50CbzkdCdPP&p=8&fvj=0&vjs=3,EY,"North Palm Beach, FL",$100 - $130 an hour,Full-time,"Data Preprocessing: Collect, clean, and preprocess data for training and testing machine learning models.",data,Model Training: Train and fine-tune machine learning…,"Posted
Posted 4 days ago",,,,,,,,,,,,,,,,
2024 University Graduate - Data Scientist,https://www.indeed.com/rc/clk?jk=09fa128742fe72f7&fccid=f89deb5a97c7738a&vjs=3,Adobe,"Seattle, WA 98103 
(Fremont area)","$82,600 - $153,100 a year",Full-time,"Your primary focus will be to develop and maintain a robust data architecture to advance our reporting, analytics, and experimentation capabilities, and on a…",data,,"Posted
Posted 30+ days ago",(Fremont area),https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=09fa128742fe72f7&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA-ZkguqEBsKCW5vcm10aXRsZRoOZGF0YSBzY2llbnRpc3Q%253D,View all 5 available locations,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=2b9e92179d9761df&fccid=ef4be98af276034b&vjs=3,Kraft Heinz Company,"Hybrid remote in Chicago, IL",,,You are proficient in machine learning to deliver clustering- time series- classification- regression- anomaly detection- simulation- and optimization queries.,,,"Posted
Posted 30+ days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=2b9e92179d9761df&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA-ghZ4aqhAbCglub3JtdGl0bGUaDmRhdGEgc2NpZW50aXN0,View all 3 available locations,,,,,,,,,,,,,
Lead Data Scientist,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZkFBy4Qr63BQKSyytxWB3SgLm-f0nIvEw1WHNc8pJffuu7UFqUfiETsyrpSNbs-G1mW8HQdUS02o1vSsV1T29ezpc7JQQ9W_096tXWKfLtqsRBEJyDD5OSJ7VWU5Ecch_KsD0AOKDzr6d_XS-EUalbsJEgLlgnDaQ4qIfPv0H3s-pJoAXAshRRTPOPx1bXcRVRSp8CvlYeSgBvYLnj3ZRXR2jd5yYVF8panpl4fMar5E9xszNpTqKzjgjMIgzu4yx4k53QzPBYrHJKH9tHn5oKlFnGBJeAW2z79gbeIyxb3x_zwxFD6l1J_wB3djL1RQmu_Achdn2uwT9Tl-P4N7hGev9GpX1a9mdKa5wcfFZhQPQIYSNJsZMIDZr6wdXW9411hNJIHdcqUofEQWfKuBhx5dSuHJUPAYe1rGhCE6wmIsctzp3eMpXLOhFj1DxlrVlDgE_OmLMkjzEueBavYV5pjspXiM6QnCZMHCLfoh9oGzdh9VVtap5niywj9tR_t9RwHiq2Mdz7B8Lf-oFGoBmSLIFuJtmZTZUYAxOkOka13WjNzbYnMqdixwVT9R5MJfj_f_leXq3Ej2rBnO_AV9ojfybjBFeQovgxfH6Wwi-KuC-v5724Bw5GYf0tqHMPihAhQuR0Sy8LDZgHIuo4m4qQ38hqCx7exm04Pg_bFxSvd816yLXlxia3jJzcN97c0qKJxm-0weqCygdmqk9BssWSK58e8SjHTPmw4UqYjEdz6ibx3DbbGdQF7MPP3QneaQHRXQokboNxKhhCOqp5Krd_zMiaM6aQ-xnZTc7YeWr3c_5MIXtFHa2KZBgQgw66r7eQBdz8NXsOVNS7undaLeP6jyIgZmKlpge9sGjHj6hH1B7i5kcsdOZZzurvp_Rb7ZvlDe9yRiRjMpdvL9pkG_czQ95sOmlZPTJ5rZMgF_ige1IgDlgaT_-JzNOG-WW6VykLZ3zuTRE9oO9NoL1OwbzwsojZrebISWXg6H5FKIU23mphc9JivqHOZ_jVlDOvMPbDCZjzSLqo-uEAShGeTC6LnV5wVP7k-E-8Yu6qiRKbCwGdzMKO0vfVTnVsAr6KEZz_a2ALwph0Ha4tcO6I4bQ_AGdbtmnWgMElWU9GF9a7gkoxP79PLWWxGh4NPVdwAfTA0ZndRt5h4VGWDckp2YNgHOBbKCyBI-TabGMn384vLT_pOS8J_vrphY-uNsaZaDcBJn_brCucz3&xkcb=SoDR-_M3JtOBiZxJt50HbzkdCdPP&p=11&fvj=0&vjs=3,Comcast,"Philadelphia, PA 19148 
(Stadium District area)",Full-time,Full-time,The Data Science team builds the end-to-end systems and tools that democratizes machine learning to meet the needs of business by partnering with key internal…,Data,,"Posted
Posted 30+ days ago",(Stadium District area),,,,,,,,,,,,,,,
"Data Scientist, Remote Sensing",https://www.indeed.com/rc/clk?jk=bff93011e3369d49&fccid=e08122e0e993cc32&vjs=3,Bayer,Remote,"$126,497 - $202,812 a year",Full-time,"Comprehensive health benefits including medical, dental, vision, life, and disability, as well as a Life Solutions Plan covering mental health benefits.",,,"Posted
Posted 2 days ago",Remote,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=bff93011e3369d49&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_DSaoQGwoJbm9ybXRpdGxlGg5kYXRhIHNjaWVudGlzdA%253D%253D,View all 11 available locations,,,,,,,,,,,,,
Associate Data Scientist,https://www.indeed.com/rc/clk?jk=3a274625555d05ef&fccid=a3b51ece17c02aae&vjs=3,ABBVIE,"Lake County, IL",Full-time,Full-time,"Stay up-to-date with the latest developments in machine learning, NLP, and other relevant technologies.",Data,"As an Associate Data Scientist, you will play a crucial…","Posted
Posted 19 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33id12do5000&jk=3a274625555d05ef&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA-d_K0NqhAbCglub3JtdGl0bGUaDmRhdGEgc2NpZW50aXN0,View all 4 available locations,,,,,,,,,,,,,
Senior Predictive Modeler,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2pP6k9OuB9dVVqjF_PdujusYNLdeVulQvAlytZ7WHPLDUR8wUESqpcdgIq0kFHzHwAmhYBtIxYfzjD7L6Edx9ayLlFNoeQY5NHi5n9DqYViHfYFh1me92fmGT3A0fx0tvZvFbukpezZHVEsjCXUavn0wq9_zWiOvv1ODTalxjQ0BhS756ICL3Fkkqxpnn4TtTh4eb3kmAdEj8GSZzUhgcRcPAkNoNsOJDcQfv5y_4dOMcgKtdEpiP3JN2msCYU5cKyBpr405jT3QXCSJG6o1t38SmoiJ6oVMpaEBJpypzvFkbhcfBwd_074tWlMlWdVZmHgZd94fDthdawuI-wmN4SuOmDa3WMfMCgun4ykJ3hcSa0vS_VAN6azDq8b1zRzx4pxZDCeXxWpcnfRMnrRfyPd1s5ieuzNc2pW7QxCfod5YCCR2luMzretVAEPxUm6-r9Gp7k1VMfcN6vxyPM61EpSTIdjm0TSLkO5uGVgtsatbaLSfnR8G0JiLan6v3Z5cHJARY-nX2h3i96_JMLf1GKs8Ir4y--_2LMTUglOm9svrslfTfH2dG13Mgb0pPM9N-C4WkZWk4zdAxG6vKWSzMwpIKWX9ALeP0RevNSFuaRw==&xkcb=SoBM-_M3JtOBiZxJt50EbzkdCdPP&p=14&fvj=1&vjs=3,Sitewise Analytics,"Dallas, TX","From $90,000 a year",Full-time,"Using a dynamic mix of machine learning approaches blended with classical statistical techniques and spatial analytics, the members of the team develop…",,,"Employer
Active 3 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=092e58153dc6e1c1&fccid=6f31e2074a3d8a7b&vjs=3,Northwell Health,"Lake Success, NY 11020","$75,020 - $126,250 a year",Full-time,"Minimum of two (2) years of post-graduate training or experience involving quantitative data analysis, required and working with clinical data, data science,…",data,,"Posted
Posted 2 days ago",,,,,,,,,,,,,,,,
"Data Scientist, Model e",https://www.indeed.com/rc/clk?jk=44883a2af6aab52e&fccid=761c44c17d636bfe&vjs=3,Ford Motor Company,"Remote in Detroit, MI 48216",Full-time,Full-time,"3+ years of experience, with specific focus on data science and machine learning.",data,3+ years of SQL experience for data manipulation/data engineering.,"Posted
Posted 2 days ago",,,,,,,,,,,,,,,,
Jr. Data Scientist,https://www.indeed.com/rc/clk?jk=f420fd336c4b892f&fccid=90364bdd6d185b45&vjs=3,ClimateAI,Remote,,,Background in data analysis and machine learning (NNs and decision-tree based regression and classification).,data,Experience working with large data sets.,"Posted
Posted 16 days ago",Remote,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=3876c440eeabc650&fccid=bb0aec68dcf6568e&vjs=3,Kickstarter.com,Remote,"$110,000 - $130,000 a year",,You have 2-5 years of professional experience in data analytics for a technical product.,data,Democratizing data access across the organization and providing tools…,"Posted
Posted 13 days ago",Remote,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=302c2cb445356d22&fccid=be3b11aa573faee7&vjs=3,CVS Health,"New York, NY 10013 
(SoHo area)","$80,500 - $170,000 a year",Full-time,"Develops data structures and pipelines to organize, collect and standardize data that helps generate insights and addresses reporting needs.",data,,"Posted
Posted 2 days ago",(SoHo area),https://www.indeed.com/addlLoc/redirect?tk=1hdd33mrmj4ri803&jk=302c2cb445356d22&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_5_cIVqhAbCglub3JtdGl0bGUaDmRhdGEgc2NpZW50aXN0,View all 4 available locations,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=ab50cfa59689a924&fccid=dd616958bd9ddc12&vjs=3,,"Pasadena, CA","$72,000 - $132,000 a year",Full-time,"Knowledge and deployment of advanced statistical and machine learning concepts used in big data analysis including non-parametric tests, ANOVA, mixed models,…",data,,"Posted
Posted 5 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33mrmj4ri803&jk=ab50cfa59689a924&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3DkAPNhxfyBwZ0bmZ0Y2yqEBsKCW5vcm10aXRsZRoOZGF0YSBzY2llbnRpc3Q%253D,View all 4 available locations,,,,,,,,,,,,,
Data Engineer/Data Scientist,https://www.indeed.com/rc/clk?jk=e6243931b07ddf9f&fccid=ebee1b9387408320&vjs=3,Compact Information Systems LLC,"Remote in Redmond, WA 98052","$130,000 - $150,000 a year",,"Design and implement data models for predictive analytics, machine learning, and data exploration.",data,"The ideal candidate will play a critical role in designing,…","Posted
Posted 12 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=384184835f4a8f66&fccid=bb307ecf9644ad08&vjs=3,Phantom,"Remote in New York, NY","$140,000 - $220,000 a year",Flextime,Empower the company with data - Generate and communicate data-driven insights to influence product and business decisions.,data,,"Posted
Posted 9 days ago",,,,,,,,,,,,,,,,
"Data Scientist, Product Analytics",https://www.indeed.com/rc/clk?jk=1bc02d5e0d734e73&fccid=ba07516c418dda52&vjs=3,Facebook App,"San Francisco, CA","$109,000 - $166,000 a year",,"Communication and influence: You won’t simply present data, but tell data-driven stories.",data,A minimum of 2 years of work experience in analytics (minimum of 1…,"Posted
Posted 3 days ago",,https://www.indeed.com/addlLoc/redirect?tk=1hdd33mrmj4ri803&jk=1bc02d5e0d734e73&dest=%2Fjobs%3Fq%3Ddata%2Bscientist%26l%3DUnited%2BStates%26grpKey%3D8gcGdG5mdGNsuA_iork5qhAbCglub3JtdGl0bGUaDmRhdGEgc2NpZW50aXN0,View all 30 available locations,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/company/Cognize-tech-solutions/jobs/Data-Scientist-19c0f904e582d0c7?fccid=f4398aa555827ed9&vjs=3,COGNIZE TECH SOLUTIONS,Remote,"$65,000 - $80,000 a year","Full-time
+1"," Using tools such as Tableau, Looker and GoogleData Studio to aggregate data from across our software tools to build and develop dashboards for both client…",data,,"Employer
Active 3 days ago",Remote,,,,,,,,,,,,,,,
Data Scientist/Quantitative Analyst,https://www.indeed.com/rc/clk?jk=5b1df7374a0aa25d&fccid=e1c9c509af506a08&vjs=3,Federal Reserve Bank of Minneapolis,"Hybrid remote in Minneapolis, MN 55401",Full-time,Full-time,"Bachelor's degree in quantitative subject such as computer science, statistics, mathematics, physics, engineering, or degree in another subject such as finance,…",,,"Posted
Posted 11 days ago",,,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=bff36fd9f50d8b87&fccid=54a1830e9cce3cc0&vjs=3,Flow,"New York, NY 10012 
(NoHo area)","$130,000 - $170,000 a year",Full-time,"Strong data visualization skills and ability to present insights from analysis - previous experience with enterprise business intelligence tools, such as Sigma,…",data,,"Posted
Posted 30+ days ago",(NoHo area),,,,,,,,,,,,,,,
Data Scientist,https://www.indeed.com/rc/clk?jk=74ebb68410b35cc9&fccid=74540dcd08f53d72&vjs=3,UCLA Health,"Los Angeles, CA 90095",$26.20 - $51.39 an hour,,Knowledge and deployment of advanced statistical and machine learning concepts used in big data analysis.,data,Experience in working with high-performance computing…,"Posted
Posted 30+ days ago",,,,,,,,,,,,,,,,
Associate Data Scientist,https://www.indeed.com/rc/clk?jk=24c5d44852b4578b&fccid=c4bc23324dcf8d3c&vjs=3,Anheuser-Busch,"St. Louis, MO","$74,400 - $88,350 a year",Full-time,"1+ years of real-world experience as a data scientist, mathematician, or operations specialist applying optimization techniques, statistical/econometric and/or…",data,,"Posted
Posted 5 days ago",,,,,,,,,,,,,,,,
"Decision Scientist, Locations",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A3euUoOlcFOg58Q6nmuUh0Lnp17JpRiT8Tdiqcy7-gI7p08M3fEFGBh_VX8po1S8379XuDb0hU4UL44HwgrCcwtt8drpcwAFx5VKeLVORrxbDZzqmfqr-_UNfwJee8Aql_sni2zee_jWGZzuiUVyWDaJolubtVl1DdINCmto2M3tu89VrZUPessUuGV2ydHiJfCVEqTuX3wES4MWegD8rW-ghGNCCYATBhe7Tc6Rnj4OZC28voOQ-NgCJ0M-pA9rntLINt9-5YZNGykKdy9zB4d3nVJZCBIbbAZB9-RJL4D4DulFdYEzuDHLQoaEiuIcUq9m5FzHb34ybVJRzqTo99HyMyoGYv7TS3BGAfONWU43jB2NaL_eXecjYGy-7Ueb0wGV3jeRKYxSECycc8U454noGF8Asm_ZgXkpaZv-FuK78nDtyQF05_-7e_aZKGDHJrmfWmCJDxQ2UqVYoq0a2z6hYE-SWETPDm1Jc-lvRJi4DgHzzKdLdQHXxvHfkvVclBSk90STvTmhAmaNTQtd_4P9q9vqePFjO_nK4BCmxZqNJaweY-DtaM9g3J34n2SrpoVNBfpV57xjkXqgGQgmBR1tzPjZXKw14fErlEHd2fUA==&xkcb=SoDk-_M3JtOBO-WYEZ0FbzkdCdPP&p=14&fvj=0&vjs=3,Best Buy,"Richfield, MN 55423",Full-time,Full-time,"Lead research and analytics to develop insights on market optimization, growth opportunity, penetration assessment and new concept sizing.",,,"Posted
Posted 2 days ago",,,,,,,,,,,,,,,,
